,Comments,Comment ID
0,hey guys any other awesome deal that we missed out on,298107_1
1,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else,774454_1
2,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes,378283_1
3,please make best smartphone under k no one touches segment between k k br br because for some video recording and clicking pics are important and performance equally so the only segment left is k br if you can make video on that for best camera smartphone,674053_1
4,there is no discount on asus vivobook pro,390621_1
5,beebom you missed ipad deal,745618_1
6,realme gt was at k,121174_1
7,gt neo t is out of stock,322520_1
8,sony srs xe,947935_1
9,motorola edge ultra,167775_1
10,sai subash jonnalagadda because of camera and fetures in low price,334587_1
11,what s best smartphones under k for office work and freelance work br br priority camera and performance,408045_1
12,anuj sharma how,73752_1
13,xiaomi pro vs pixel pro which one should i buy,781520_1
14,headphone,956905_1
15,realme gt and gt pro its actually a good deal,334977_1
16,realme gt,499409_1
17,please make the best laptop deals for every user type,334533_1
18,samsung buds pro now at k which is half of its actual price,393261_1
19,what s other best option that has camera better than samsung s fe even by spending k extra br with less heating br any recommendations under k for best possible camera br br or br even under k for best possible camera br br less heat,542532_1
20,is there any best phone under k or maximum k with great camera br br performance little bit better than average br need less heating as i live in area with high temperature br br what s best br pixel br vivo x br,734677_1
21,the pixel is at in amazon,179293_1
22,retro tech pixel is good option other than iphone,48716_1
23,what kind of thumbnail is that looks like the lad is about to have a seizure,79666_1
24,there are many others but they dont pay for their promotion on your video,718332_1
25,philips wireless on ear headphones tah bk br rupees only,409276_1
26,realme gt under k,233660_1
27,which rice tracking tools are you using br please share,783740_1
28,i actually got the nothing phone gb gb at br with the sbi card offer that too on no cost emi br so does it count a href http www youtube com results search query beebom beebom a,117365_1
29,hi which website you are using to track the prices of product,639867_1
30,what s other best option that has camera better than samsung s fe even by spending k extra br with less heating br any recommendations under k for best possible camera br br or br even under k for best possible camera br br less heat,173019_1
31,atul gadekar realme gt neo t at k,2013_1
32,how about iqoo at in amazon is it a good deal,459154_1
33,also i just baught sony xm at,791084_1
34,pixel a,92496_1
35,atul gadekar get gt neo t instead,514665_1
36,i just baught samsung buds pro at from amazon which are mostly around k,172590_1
37,sai subash jonnalagaddaexactly how is this a good deal or even a recommendation now,847866_1
38,realme gt in,991033_1
39,samsung s fe g gb version at rs at samsung shop,840314_1
40,realme gt is available for its a good deal if you ask me it has sd,403347_1
41,avinash n i bought them two days back for on amazon,55442_1
42,poco m,875273_1
43,atul gadekar go for realme gt neo t for instead,110865_1
44,sony xm and xm,528560_1
45,honor magicbook x i th gen k but with coupons and bank discount its available below k,723581_1
46,realme gt pro k,41465_1
47,there is around k off with sbi credit card on samsung galaxy book please cover it if possible,306613_1
48,is sony linkbuds s at an effective price of k a good deal,685548_1
49,realme gt at k,21538_1
50,i think realme gt is a good deal now,182892_1
51,watch for around k,422554_1
52,any monitor to consider in sale,720757_1
53,samsung buds pro k now available at k with bank discounts,500983_1
54,please suggest me a laptop under k for an accountant with latest generations for long run use,866564_1
55,nothing ear,557003_1
56,samsung buds live k,80551_1
57,nice deal thank you,390445_1
58,nice deal,918058_1
59,pixel a,392903_1
60,laksh h samsung if u opt for emi on icici credit card,586090_1
61,should i buy redmi note pro at k or not please suggest in terms of battery life display quality and mainly performance,467546_1
62,please bring a video for smartwatches in budget range like to category we love you a lot,640962_1
63,ipad th gen gb at k,427682_1
64,sameer shekhar samsung or op,428070_1
65,realme gt k,136483_1
66,ipad th gen is also available,123578_1
67,buds pro k,537147_1
68,acer aspire gtx i gen available at k and gb for k br br asus tuf dash f at,664633_1
69,moto edge ultra k,450545_1
70,how you get discount on galaxy watch when its discount not,765508_1
71,s fe is so outdated y do you guys recommend it,83480_1
72,please don t put that text animation music in background my head is paining after listening to that,635176_1
73,beebom never fails to impress only the things which really matter no prolonged video and stating actual price with separate additional discount you guys rock,474945_1
74,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes,656620_1
75,akansha for that you would be happy with pixel,847181_1
76,what s best smartphones under k for office work and freelance work br need best camera,864088_1
77,internetuser would pixel a heat less than s fe and pixel br i need less heating as in my area temperature reach degree br br what s best under k,653489_1
78,is there any best phone under k or maximum k with great camera br br performance little bit better than average br need less heating as i live in area with high temperature br br what s best br pixel br vivo x,901849_1
79,retro techoneplus r,944041_1
80,retro tech pixel a or or maybe wait for a little longer pixel a is on the way and it s gonna have the best camera out of all for about k,213848_1
81,retro tech pixel,727522_1
