,Comments,Comment ID
0,hey guys any other awesome deal that we missed out on,197154_1
1,which extension was it you used to track the price,274067_1
2,realme gt neo t will be back in sale or not,857536_1
3,got few deals for myself myself sony wh xm rs usual price apple smart keyboard folio rs usual price,724364_1
4,sir could you please suggest any way to update to miui and android on the legendary xiaomi k pro as the phone is already listed dead for xiaomi they have stopped providing any updates please please please,353754_1
5,asus vivobook pro that was a crazy deal,588122_1
6,what extension are you using to track the price,936244_1
7,bro when will be another offer starts,873975_1
8,how to use price graph can anyone tell me,308842_1
9,a huge thanks to beebom for this video i bought s fe today,440152_1
10,please make best smartphone under k no one touches segment between k k because for some video recording and clicking pics are important and performance equally so the only segment left is k if you can make video on that for best camera smartphone,188945_1
11,someone stop this guy omg this guy is a joke lol,355799_1
12,the sound used for price tags is soo annoying,734754_1
13,mathematical mistake in cost of samsung watch it is supposed to be was it purposely done,406277_1
14,dude this channel is solely for rich guys high commission for high priced items referral,65305_1
15,pixel pro for rs,459752_1
16,has anyone noticed the number sound makes your teeth tick,723942_1
17,ipad air,768873_1
18,very helpful video thumps up please make this type of video in the future too it helps to buy products wisely,832894_1
19,google pixel a,186131_1
20,samsung buds pro is gng for k after discount,579400_1
21,galaxy buds pro selling at off with some credit cards at that price it s a no brainer,442274_1
22,you missed out on realme gt deal it is available for,23911_1
23,realme gt neo t is of,682032_1
24,real me gt shi h kya heating issue to nhi h na bus m,145127_1
25,real me gt,479767_1
26,how to check price history,152476_1
27,task,408293_1
28,bro you could have also included tablets as well,307423_1
29,am i the only one who s looking to the offer and still can t buy a damn thing,538085_1
30,samsung buds pro for,16564_1
31,hey what s the price graph extension,646027_1
32,macbook air was available onflipkart at k using sbi card offers,817260_1
33,the galaxy watch lte was also available at which was a great deal,699234_1
34,s fe i shifted from iphone to s fe,73473_1
35,pixel a now can be bought at just k,18190_1
36,bhai phali video hai kya pagala gye ho kya s fe bhai bs karo yarr,799453_1
37,meanwhile me missing the intro music,712507_1
38,guys buy s with exchange dont buy year old phones,420183_1
39,pixel a,378912_1
40,i can t able to get realme gt at k i want to buy it,202282_1
41,realme gt is a great phone that you missed gt neo t is available at k with snapdragon whereas gt is available at k with snapdragon which is way better i offered it at an effective price of k so pretty decent upgrade worth k also u get gb of ram,561250_1
42,ahhaha pls dont buy ideapad gaming when legion exist i got the legion and its pretty good better than the ideapad also back in around august or something legion was available from like under k,800357_1
43,bro your video is for only rich people i request you to please do videos for poor people for us,553044_1
44,after exchanging macbook pro getting the samsung book inr i th gen for k good deal,810139_1
45,seedhi baat no bakwaas,207262_1
46,do you seriously say s fe a to year old phone is good phone to buy even in like with all due respect i completely don t agree please don t promote year old phone i know the phone is great but at it s age only not in,398461_1
47,guys don t buy realme gt neo t it s full of bugs waste of money,736417_1
48,which app exptension are they using to see the price graph,706297_1
49,is nothing ear a good deal foe k i am unable to decide between pixel buds pro at k and ear at k for my s ultra i already have buds pro looking for multi point connection as the first point,436045_1
50,one should go for pixel a at k instead of samsung s fe,408304_1
51,should we go for s fe g right now considering it being years since its initial launch,463608_1
52,superb video but we do look forward products below k,383692_1
53,got sony wf xm for,502596_1
54,what s that price tracker you guys are using,122503_1
55,bro please ek acha headphone batao jiska bass aur loudness acha ho bro can you please recommend me a good headphone with good bass and loudness,6598_1
56,pixel is k with everything,529038_1
57,i understand that yout team istrying to suggest the best deals but suggesting an th gen laptop is not in the best interest of any of the viewers asusvivobook,251176_1
58,what is the extension he is using to track prices,52_1
59,its amazing i found none of these products interesting,393568_1
60,hello sir please help me to choose phone under k i hv bajaj emi card n only realme pro is available for k on this card i wanted to buy narzo pro or z g but they re not available in emi card so can i buy realme pro for k is it good for year usage,545971_1
61,i chose vivo for my mom camera centric s fe was my first choice but read about a lot of the heating issues and bad battery backup with the exynos chip so stayed away one thing with vivo is the bloatware which i ll happily remove via adb so i guess it s a great deal at k what say peeps,206506_1
62,are you kidding asus vivobook pro still showing k price tag,842274_1
63,when you say trust me i be like i dont trust someone who doesnt look me in the eye,961698_1
64,what is the website for price tracking,664195_1
65,galaxy buds pro trading at around k,648162_1
66,bhai kisi k pass icici ka credit card h to help kardo bhai,278401_1
67,pixel a,31341_1
68,no offer of samsung galaxy watch lte,31658_1
69,apple still expensive,79298_1
70,oneplus r is a very bad deal when will come a good deal,86868_1
71,acer aspire,490434_1
72,got segate firecuda ssd tb for k on amazon my ps could not be more happy,817399_1
73,why irritating bug clicking sound in the background,537809_1
74,crosses eyes lodu,78542_1
75,thank you very much beebom yesterday i have buy the samsung galaxy s fe after watching this video it s huge deal for me as i m using my samsung galaxy j max from and i exchanged it with k rs in samsung shop in i am a student and now i m doing my st job and i have buy this with my salary it s a huge achievement for me my j max is in really good condition without any damage but battery backup is now going down thanks champ j max for this years of incredible journey,484768_1
76,hey guys being a nothing phone user you could trust this phone it has a really camera quality,52918_1
77,pixel is listel at k on amazon excluding card discounts,483625_1
78,biggest deal which you missed out was marshall woburn for k usually its around k,171173_1
79,the ipad th gen was available at excluding bank discount now it s at,809557_1
80,you missed oneplus pro g kyun ki usme exchange offer bhi tha tak or bank discount bhi tha beebom so you also mention this,586504_1
81,vivo x is a hypothetical phone model that hasn t been officially released yet so there are no confirmed details about its features however based on the naming convention of vivo s previous models it s possible that x could be a premium or high end device that comes with advanced camera capabilities if you re interested in purchasing a vivo phone with good camera features you can consider some of the company s existing models such as vivo x pro which features a quad camera setup with a mp primary sensor a mp ultra wide sensor a mp portrait sensor and an mp periscope telephoto lens the phone also has advanced features such as axis stabilization x hybrid zoom and k video recording alternatively if you have specific requirements for the camera features you need feel free to let me know and i can provide more tailored suggestions,600717_1
82,vivo x is a hypothetical phone model that hasn t been officially released yet so there are no confirmed details about its features however based on the naming convention of vivo s previous models it s possible that x could be a premium or high end device that comes with advanced camera capabilities if you re interested in purchasing a vivo phone with good camera features you can consider some of the company s existing models such as vivo x pro which features a quad camera setup with a mp primary sensor a mp ultra wide sensor a mp portrait sensor and an mp periscope telephoto lens the phone also has advanced features such as axis stabilization x hybrid zoom and k video recording alternatively if you have specific requirements for the camera features you need feel free to let me know and i can provide more tailored suggestions,968894_1
83,vivo x is a hypothetical phone model that hasn t been officially released yet so there are no confirmed details about its features however based on the naming convention of vivo s previous models it s possible that x could be a premium or high end device that comes with advanced camera capabilities if you re interested in purchasing a vivo phone with good camera features you can consider some of the company s existing models such as vivo x pro which features a quad camera setup with a mp primary sensor a mp ultra wide sensor a mp portrait sensor and an mp periscope telephoto lens the phone also has advanced features such as axis stabilization x hybrid zoom and k video recording alternatively if you have specific requirements for the camera features you need feel free to let me know and i can provide more tailored suggestions,804318_1
84,bro i have missed the offer real me gt neo t it s proce is now showing when can i get it at,255269_1
85,could someone please suggest me a laptop budget is around k,247257_1
86,galaxy watch lte effective price will be rs not as u hav mentioned,631827_1
87,galaxy buds pro at k,360874_1
88,can i ask what happened with your eyes,516831_1
89,hello beebom please do a jio drive vr set,256286_1
90,samsung buds pro with bank discount i got with no cost emi for one year i think it is a great deal,18676_1
91,yaar tumlog budget deal bhi toh batao maximum log budget deal janana chahte hai,72892_1
92,realme gt available at k with k discount with sbi card,228331_1
93,motorola g is available for and usual price is,727016_1
94,india top one,550350_1
95,pixel a at k,276792_1
96,ps at it is priced usually at k,169770_1
97,amazon is overrated,834934_1
98,no fillers no bakwas direct to the point hats off beebom,270580_1
99,thank bro i ordered redmi book pro at k but then i saw your video and cancelled it to order asus vivobook k oled ryzen for k thanks bro you really helped i got better brand better display fingerprint numpad gb extra ram and more thanks,348055_1
100,galaxy buds pro,756835_1
101,bruhh what about realme gt,448307_1
102,so many amoled smartwatches are available below,572784_1
103,most impressive beebom always never skip while watching love from chennai,286499_1
104,can you please share the name of the price tracker extensions used at,632220_1
105,any video for over the ear headphones,364910_1
106,you guys know the pulse don t you awesome quick video,781517_1
107,motorola edge ultra,267077_1
108,i cant find the deal of galaxy watch lte of k,199671_1
109,ayooo you forgot samsung ear buds for k,225009_1
110,i got ipad th gen for k after my old poco f exchange,872338_1
111,i want to reset my phone so how to backup telegram data,189498_1
112,life saver tips buy any products you like on emi for extra discount then cancel the emi if you don t want emi by calling customer care,880082_1
113,great commitment to your subscribers to make this video,797701_1
114,xiaomi pro at,9431_1
115,will the price of pixel reduce more in the big billion days sale,726422_1
116,samsung buds pro vs sony link buds s which one should i buy i have last gen samsung galaxy phone,66845_1
117,all this are overhyped product,934680_1
118,samsung tab s fe k,192987_1
119,redmi note pro is available for k with bank discounts really really good device at that price,678806_1
120,pixel is available for k and pixel is available for just k on amazon,208182_1
121,can someone tell me the name of the extension to view price history use in this video,597761_1
122,sony link bud s are available for k after discount and sony wf xm for k on amazon,322251_1
123,i donno who is editing the video and doing the math but samsung watch with additional offer does not go as low as you need to buy a best budget calculator under,121089_1
124,recommending samsung s fe is not a good idea as it is two years old and has a three year old chipset,928779_1
125,really need to buy that realme gt neo t but have to wait for some months due tm some financial situation i hope september ki bbd me aur discount me available ho jaye then might be,61927_1
126,ipad th generation was on in amazon,946328_1
127,i want phone under k just tell me the best one,516682_1
128,thanks for making it quick and clear bro,669500_1
129,please share the browser extension or tool you are using for the price tracking thank you,491706_1
130,nothing is good when it comes at gb ram gb storage,509386_1
131,hi i want to buy a oneplus phone but below k is it worth buying nord t or should have to go for r,348079_1
132,i think so iqoo neo for k is also a not bad option,598692_1
133,realme gt,359404_1
134,thumbnail op lol,774022_1
135,pixel a or s fe,468284_1
136,how about tabs ipad,45093_1
137,what about pixel a,280496_1
138,nothing for a common man,884080_1
139,the rog flow series is having quite nice discounts as well mainly the entry level x and z under lac,469814_1
140,do you recommend galaxy buds pro at k,111745_1
141,how to avail the emi offer of on the vivobook pro,282448_1
142,how s the vivobook pro,905829_1
143,please make the best laptop deals for every user type,216698_1
144,how to avail the bank discount on emi in the asus vivobook pro,45338_1
145,bro iphone gb months in warrenty price k is it worth it or not mobile is in neat condition,642403_1
146,awesome work,840840_1
147,samsung buds for k without card offer,559373_1
148,is s fe a good choice,268913_1
149,acer nitro inch monitor is available just for k great for gaming with hz display usual price is upwards to k,856626_1
150,airpods are available for the mentioned price not airpods pro,124561_1
151,perfect video,350019_1
152,if the asus vivobook pro had good battery life i would ve purchased it instantly,204208_1
153,crisp sweet,882710_1
154,please make a video on best anc headphones,403161_1
155,i got galaxy buds pro available at usually available around k,787836_1
156,does anybody know the name of that historic price graph extension,942727_1
157,whats the history price extension that you are using,268839_1
158,beebom is one of the best channels in yhe universe hence i calll myself a tru beebomer,897980_1
159,stop recommending s fe in it is a year old devices and the update cycle is almost near the end s fe is better,213950_1
