,Comments,Comment ID
0,"Pixel 7a at ₹43,999 (₹39,999 after card discount. So, are you in group 1 or group 2? <a href=""https://www.youtube.com/watch?v=lUDozITit6w&amp;t=05m53s"">05:53</a> 😇",220581_1
1,"Google ne sirf camera achha Diya aur kuchh Nahi, or achha software to Chinese brand bhI deti hai, Iss se achha to me used iPhone 12 lelu",30970_1
2,​@Lakshay Tanwar for how much did you bought and are there any heating issue like the 6a and 7a?,567454_1
3,I am in Group 2,43996_1
4,@KrooksGamingInHD around navratri,77783_1
5,What&#39;s best smartphone under 55000-62k INR for best camera???<br><br>Vivo X90 vs Pixel 7 vs OnePlus 11<br>Which is best or anything else?,877665_1
6,Buy a second hand iPhone 13 and get 5 years update and better camera and performance.,144808_1
7,It will drop to 35k in 3-4 months.,524993_1
8,@Nearlight gaming pixel 8 series will be launched by then,281145_1
9,Group 2,128775_1
10,It is crystal clear and Iam in Group 1.,550126_1
11,"obviously overcharged, 1. its 2023, 18 watt 😅 2. where is the charger",970865_1
12,If it was atleast officially launching here in the middle east. Like most of pixel buyers here are risking as there will be no warranty on their phones,271491_1
13,Spend 5k more u get pixel 7,59717_1
14,@Guru Praveen s20 fe wont get the new android 14 update,731979_1
15,"I&#39;m in group 1.8 😆  I think it is an AMAZING package, but the price has gone up from the 6a.  I could have done without wireless charging and even 90Hz for a lower price.  Everything else is quite impressive for the price.  I might be biased because I have bought every Pixel A phone.",11039_1
16,"@PRITAM BARMAN Could be, I am using the Japanese Variant Pixel 6 for 16 months. No issues so far. Pixel Warranty is useless anyways.",712865_1
17,"Group 3<br><br>Wait a few months for the price drops, just like the older pixel A phones.",514731_1
18,@Aritra Adhurjya  that&#39;s the japanese variant I believe,191915_1
19,Group 2. 🎉,17065_1
20,@Nilesh Devadiga When does the BBD usually take place,448624_1
21,​@Guru PraveenI think you mean S21 FE 5G,440833_1
22,​@Guru Praveennot really it was released in march 2021 and thus you already lost 2 years of that not you&#39;ll only get 1 Android update and just 2 years of security update and not to forget it can&#39;t beat any pixel phone,380744_1
23,What&#39;s best smartphone under 55k-60k for camera  for 2-3 year stable use?...,27263_1
24,"​@Ajay Aj I ordered Pixel 7a and then cancelled it, since I could get Pixel 7 for just 1000 more with Card offers and Exchange.<br>Fyi: Pixel 7 gives 3000 exchange bonus whereas pixel 7a doesn&#39;t.",195112_1
25,@KrooksGamingInHD he said in BBD Aka Big Billion day and yes it will go down in bbd,643089_1
26,I am in group 3 which is &quot;I know its a solid phone but i will wait for the price to drop to buy one&quot;.,808425_1
27,Pixel 7 cost 46k in Amazon.. just 2k more than 7a,241388_1
28,Group 1- extremely overpriced when Pixel 7 is easily available for $500-550 on BestBuy and 45-46k in India.,525742_1
29,Grp 1 maybe,226371_1
30,Now I feel like it&#39;s just the way Google launch there phone 44k for this kinda specs make no sense but if it comes under 35k i can bet it will start dominating the Market,66008_1
31,Group 1,833851_1
32,Group 3: wait for price cut and big sale. Buy mobile at around 25-30k,126967_1
33,"Group 1, its hell overpriced! Wait for sales to make a steal deal",601377_1
34,"Group 1.but wireless charging+ip67 I think  gonna shift to grp 2,after future price cuts.",486452_1
35,"39,999 for such a piece is nice. They must not drop prices abruptly and rapidly as they always do by bringing the first pricing wrong most of the time. 😢",598349_1
36,Grp 1 best if its price is under 35k on sale,694359_1
37,What you will expect else? We are indian ...of course it is overpriced.<br><br>Also we can consider OnePlus phones too lol,897786_1
38,Group 1,424794_1
39,Not a fan of these huge bezels..Moto edge 30 fusion is way better in design and feel for the same price..,897596_1
40,Grp 1,400977_1
41,Group 1 at the moment,85822_1
42,Oneplus 11r is good choice for 40k😅,510246_1
43,Using pixel 6a and satisfied,86132_1
44,Group 2 since price drop for 6a and still group 2.,695394_1
45,"44k? Na, nothing phone 2/ 2+ gonna drop soon with either 7+ gen 2/8+ gen 1 or 8 gen 2, that too with wireless charging, NFC, similar build quality, better display, longer battery, faster charging, IP rating, similar if not better camera( definitely better hardware), haptics-tactics, 5g and all that most important regular updates. So I&#39;m in group 1.",298199_1
46,"Ofcourse in grp 1, overpriced, must b around 35k",80108_1
47,@Guru Praveen What a joke lol -&gt;  S20FE is already end of cycle only till next year it will get patch update - Not recommend to buy in 2023<br>S21Fe can get 2 years more but has Exynos 2100,64913_1
48,"I&#39;d rather get the Pixel 7 that&#39;s going for 37,799 after discount and exchange with my OnePlus Nord.",461556_1
49,@Guru Praveen no 4 yrs of OS update was announced in 2022.<br>S20fe was supposed to get 3 yrs of os updates but the news is it won&#39;t.,82911_1
50,"Right now - group 1, during bbd - group 2",277304_1
51,"group 2 now,but when the price drops during bbd,it will be considered as an all out google super phone for budget",54694_1
52,"@beebom .... I am using Google Pixel 6a device since last 5 months. And I am not able to make direct vedio call via carrier network , I want to directly make a vedio call to my friend, for which I have to use Google&#39;s app like Google meet or Google duo for which we have to provided with high speed internet connection. In India internet speed is not so good in rural areas. This is not a user friendly behaviour by Google. It&#39;s a monopoly. We are using Google product itself. So atleast Google can give a access to direct vedio call. So that we can call using carrier network like JIO Vi Airtel. The second thing is pixel get too much heated during normal YouTube suffering and vedio calling via WhatsApp, from both back and front, that it start giving you warning on temperature increase of your handset. That is pathetic. These problem are as it is after many updates rolled out by Google. I had sent my complaint to Google itself till now, that query is in progress..... And Google had locked my comment from community, so no other users can relate to my problem. Please its a heartful request to everyone please don&#39;t buy new Google Pixel devices, go for any other phn ....",310496_1
53,Group 2,276036_1
54,"I am not certainly in group 1 , but it is not of my type and i prefer oneplus 11r for it&#39;s specialities overthis, like fast charging, 3d display, 120hz.",847333_1
55,Over priced 😅 i feel,223032_1
56,No 6a is around 28k - 29k <br>I hope 7a would reduce to atleast 32k in time <br>So for tht price it&#39;s best😊,646358_1
57,Group 1,131496_1
58,In offers times <br>Group 3 - great deal...,855036_1
59,Group 2😊,556329_1
60,Not worth the money <br>Major problem small battery and very slow charging speeds <br>Display is not upto the mark,647414_1
61,Group 2,545102_1
62,Group 1,288529_1
63,"I don&#39;t know about the grouping but if someone already has a 6a i still don&#39;t think 7a is a major update over the last gen 6a device. Sure it&#39;s an improvement, but not certainly of a type that I see people swapping their 6 or 6a for the 7a. If you are a first time Google phone buyer, go for it. It&#39;s a good package. As for pricing , i don&#39;t think 7a price is going to drop anytime soon",138288_1
64,Group 3 just get regular pixel 7 for 50k,459819_1
65,Group 3 buy a year later,47126_1
66,"@Beebom , What about the network issues and WiFi issues that were plaguing both 6 series and 7 series..??",497238_1
67,Would rather go with Pixel 7 for that Price,33933_1
68,chalo bhaisab bbd mei milte hei apun😉😎,255901_1
69,Group 1,585344_1
70,"Let&#39;s just wait for nothing phone too. Seems like that one would fall in same price category, but with higher refresh rate and better and faster processor.",426567_1
71,For the first time it is priced well,791686_1
72,2,481170_1
73,2,706405_1
74,Overpriced,799506_1
75,group 2,229330_1
76,Group 2,957775_1
77,Really!? Pixel 7 costs 45k on Amazon,408893_1
78,Group 3: waiting for the price to go down in sale,797137_1
79,Group - 3 Wait for Bigbillion for 30k,297206_1
80,Guys let&#39;s wait for offer time  it&#39;s Group 3 😂,713135_1
81,group 4 -STORAGE !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,534586_1
82,"Eventually it will drop in just few months, during the sale 😄",762548_1
83,3 days ago I bought a pixel 6 from Amazon because it&#39;s much better then A series the problem is you won&#39;t get any official warranty from Google if anything happens noone will help you I take the risk and bought pixel 6. But I am happy I bought this phone working fine and I love this phone ❤️,297578_1
84,No charger in the box so I&#39;m definitely in group 2.,31965_1
85,group 1,272631_1
86,@Abdul rehamani s20fe 5g goes upto Android 16?,775230_1
87,"If the price drops below 35K during sales, it would be perfect.",796413_1
88,"Definitely Group 1. I use Nothing Phone 1, apart from a slightly inferior chipset (Which would work as good as this one, trust me), everything else is better on Nothing Phone 1. For those who ask about the Camera, Use GCam on Nothing Phone 1 and enable RAW and it will give you top-notch images. Even the JPEG ones from GCam would be on Par with this Pixel one. Nothing Phone is much cheaper with slightly gimmicky glyph lights (They do look cool though), Great Sound, 120hz screen, Premium Glass build, better storage option, Haptics as good as this one, buttery smooth performance, Minimum bugs after Android 13, Wireless charging and Reverse wireless charging as well, and expected ecosystem built with interesting products on the cards.... And 13-14ki Cheaper than Pixel makes it much more appealing.",977494_1
89,Group 1,267196_1
90,Price will definitely get reduced during Diwali sale just like 6A&#39;s did. At 30-35k this would be a steal. If one can wait till then. Even now its a decent buy.,443559_1
91,@Guru Praveenu sure u would prefer s20fe <br>it aint gonna get any more updates and its like 3 yrs old.,142724_1
92,Phone is good but price is over priced,513047_1
93,Phone is good but price is over priced,659069_1
94,As of now in group 1...in BBD I&#39;ll be in group 2,767432_1
95,Price drop to 30k and it&#39;ll be in my hands,615050_1
