,Comments,Comment ID
0,Hey Guys! Any other awesome deal that we missed out on? 😇,197154_1
1,Which extension was it you used to track the price,274067_1
2,realme gt neo 3t will be back in sale or not?,857536_1
3,"Got few deals for myself myself:
1. Sony WH-1000XM4 - Rs.13000 ((Usual Price = ₹19999.00)
2. Apple Smart Keyboard Folio - Rs.6000 (Usual Price = ₹17900.00)",724364_1
4,"Sir, could you please suggest any way to update to miui 14 and android 13 on the legendary Xiaomi K20 pro as the phone is already listed dead for Xiaomi.They have stopped providing any updates???please please please???🙏🙏🙏",353754_1
5,Asus Vivobook 16 pro that was a crazy deal 🤝,588122_1
6,What extension are you using to track the price?,936244_1
7,"Bro , When will  be another offer starts ?",873975_1
8,"How to use Price graph
Can anyone tell me",308842_1
9,A huge thanks to beebom for this video. I bought S20 FE today!,440152_1
10,"Please make best smartphone under 55k... no one touches segment between 45k-55k

Because for some video recording and clicking pics are important and performance equally...so the only segment left is 45-55k
If you can make video on that for best camera smartphone",188945_1
11,someone stop this guy..omg this guy is a joke lol 😂,355799_1
12,the sound used for price tags is soo annoying,734754_1
13,"Mathematical mistake in cost of Samsung watch. It is supposed to be 11,249. Was it purposely done!!!",406277_1
14,Dude this channel is solely for rich guys😂😂😂.  High commission for high priced items referral 😂😂,65305_1
15,"Pixel 6 Pro for Rs 45,000-",459752_1
16,Has anyone noticed the number sound makes your teeth tick?,723942_1
17,Ipad air 4,768873_1
18,"Very Helpful Video, Thumps Up
Please make this type of video in the future too. It helps to buy products wisely.",832894_1
19,Google pixel 6a??,186131_1
20,Samsung buds 2 pro is gng for 9k after discount,579400_1
21,"Galaxy Buds 2 Pro, selling at 15990, 5000 off with some credit cards. At that price, it's a no-brainer.",442274_1
22,"You missed out on realme gt2 deal, it is available for 24999",23911_1
23,Realme gt neo 3t is of 29999,682032_1
24,Real me gt 2 shi h kya 24000 heating issue to nhi h na bus m,145127_1
25,Real me gt 2,479767_1
26,How to check price history ?,152476_1
27,Task:   13,408293_1
28,Bro you could have also included tablets as well,307423_1
29,Am I the only one who's looking to the offer and still can't buy a damn thing 😂😂😂😂,538085_1
30,Samsung buds 2 pro for 8750,16564_1
31,"Hey, what's the price graph extension ?",646027_1
32,Macbook air ‘1 was available onflipkart at 73k using sbi card offers,817260_1
33,"The Galaxy watch 5 LTE was also available at 15,300 which was a great deal",699234_1
34,S21fe >>>>>. I shifted from iphone 13 to s21fe🔥,73473_1
35,Pixel 6a now can be bought at just 27k,18190_1
36,Bhai phali video hai kya pagala gye ho kya s20fe bhai bs karo yarr,799453_1
37,"Meanwhile, me missing the intro music",712507_1
38,"Guys buy S22 with exchange, dont buy 3-4 year old phones",420183_1
39,Pixel 6a,378912_1
40,"I can't able to get realme gt at 20k, i want to buy it ...😢😢",202282_1
41,"Realme GT 2 is a great phone that you missed...
GT neo 3T is available at 20K with Snapdragon 870
Whereas, GT 2 is available at 25K with Snapdragon 888 which is way better
I offered it at an effective price of 24K so pretty decent upgrade worth 4K also u get 8GB of RAM",561250_1
42,"ahhaha pls dont buy Ideapad gaming, when legion 5 exist, i got the legion 5 and its pretty good, better than the ideapad, also back in 2022 around august or something, legion 5 was available from like under 59k",800357_1
43,bro your video is for only rich people i request you to please do videos for poor people for us,553044_1
44,"After exchanging 2012 MacBook pro, getting the Samsung book 3 (INR89,990) i7/13th gen for 52k. Good deal?",810139_1
45,"Seedhi baat, no bakwaas😂",207262_1
46,"Do you seriously say S20Fe - A 3 to 4 year old phone is good phone to buy even in 2023?? Like with all due respect, i completely don't agree . Please don't promote 3-4 year old phone. I know the phone is great, but at it's age only. Not in 2023",398461_1
47,Guys don't buy realme gt neo 3t........ It's full of bugs ...... Waste of money,736417_1
48,"4:20 which app, exptension are they using, to see the price graph?",706297_1
49,Is nothing ear 2 a good deal foe 8k. I am unable to decide between pixel buds pro at 13.75k and ear 2 at 8k😊 for my s23 ultra. I already have buds 2 pro. Looking for multi point connection as the first point.,436045_1
50,One should go for Pixel 6a at 27k instead of Samsung s20 fe,408304_1
51,SHOULD WE GO FOR S20 FE 5G RIGHT NOW CONSIDERING IT BEING 2 YEARS SINCE ITS INITIAL LAUNCH,463608_1
52,"superb video, but we do look forward products below 5k!",383692_1
53,"Got Sony WF 1000XM4, for 11800.",502596_1
54,What's that price tracker you guys are using...?,122503_1
55,"Bro please ek acha headphone batao jiska bass aur loudness acha ho 🙏🙏

Bro can you please recommend me a good headphone with good bass and loudness 🙏🙏",6598_1
56,Pixel 7 is 42k with everything,529038_1
57,I understand that yout team istrying to suggest the best deals but suggesting an 11th gen laptop is not in the best interest of any of the viewers. #asusVIVOBOOK,251176_1
58,what is the extension he is using to track prices,52_1
59,its amazing i found none of these products interesting 😂,393568_1
60,"Hello Sir, please help me to choose phone under 19k i hv bajaj emi card n only realme 10 pro is available for 19k on this card i wanted to buy Narzo 50 pro, or z7 5g but they're not available in emi card so can i buy Realme 10 pro for 19k ? Is it good for 3-4year usage?",545971_1
61,"i chose vivo27 for my mom, camera centric, s21 fe was my first choice but read about a lot of the heating issues and bad battery backup with the exynos chip, so stayed away. 

One thing with vivo27 is the bloatware, which I'll happily remove via adb, so i guess it's a great deal at 31k, what say peeps?",206506_1
62,Are you kidding!!! ASUS VIVOBOOK PRO 16 still showing 84K price tag,842274_1
63,when you say trust me i be like i dont trust someone who doesnt look me in the eye😂😂😅😅😂😂,961698_1
64,What is the website for price tracking?,664195_1
65,Galaxy buds 2 pro trading at around 10k,648162_1
66,Bhai kisi k pass icici ka credit card h to help kardo bhai😢,278401_1
67,Pixel 6A???,31341_1
68,No offer of samsung galaxy watch 4 lte 👎,31658_1
69,Apple still expensive,79298_1
70,"Oneplus 11r is a very bad deal 

when will come a good deal?",86868_1
71,Acer Aspire 7,490434_1
72,Got segate firecuda ssd 2TB for 19k on Amazon..... My PS5 could not be more happy,817399_1
73,Why irritating bug clicking sound in the background 😒,537809_1
74,crosses eyes lodu,78542_1
75,Thank you very much Beebom❤ Yesterday I have buy the Samsung Galaxy S21 Fe after watching this video it's huge deal for me as I'm using My Samsung Galaxy J7 Max from 2017 and I exchanged it with 3k Rs in Samsung Shop. In 2017 I am a student and now I'm doing my 1st job and I have buy this with my salary it's a huge achievement for me.❤ My J7 Max is in really good condition without any damage but battery backup is now going down. Thanks champ(J7 Max) for this 6 Years of Incredible Journey ❤️✨️,484768_1
76,"Hey guys being a nothing phone user you could trust this phone 
It has a really camera quality",52918_1
77,Pixel 7 is listel at 44k on Amazon excluding card discounts,483625_1
78,"Biggest deal which you missed out was marshall Woburn 2 for 35k , usually its around 45k.",171173_1
79,"The ipad 9th gen was available at 25900 excluding 1750 bank discount, now it's at 27900",809557_1
80,you missed ONEPLUS 10 PRO 5g kyun ki usme exchange offer bhi tha 14000 tak or bank discount bhi tha @BeeBom so you also mention this,586504_1
81,"Vivo X90 is a hypothetical phone model that hasn't been officially released yet, so there are no confirmed details about its features. However, based on the naming convention of Vivo's previous models, it's possible that X90 could be a premium or high-end device that comes with advanced camera capabilities.

If you're interested in purchasing a Vivo phone with good camera features, you can consider some of the company's existing models, such as Vivo X60 Pro+, which features a quad-camera setup with a 50MP primary sensor, a 48MP ultra-wide sensor, a 32MP portrait sensor, and an 8MP periscope telephoto lens. The phone also has advanced features such as 5-axis stabilization, 60x hybrid zoom, and 8K video recording.

Alternatively, if you have specific requirements for the camera features you need, feel free to let me know, and I can provide more tailored suggestions.",600717_1
82,"Vivo X90 is a hypothetical phone model that hasn't been officially released yet, so there are no confirmed details about its features. However, based on the naming convention of Vivo's previous models, it's possible that X90 could be a premium or high-end device that comes with advanced camera capabilities.

If you're interested in purchasing a Vivo phone with good camera features, you can consider some of the company's existing models, such as Vivo X60 Pro+, which features a quad-camera setup with a 50MP primary sensor, a 48MP ultra-wide sensor, a 32MP portrait sensor, and an 8MP periscope telephoto lens. The phone also has advanced features such as 5-axis stabilization, 60x hybrid zoom, and 8K video recording.

Alternatively, if you have specific requirements for the camera features you need, feel free to let me know, and I can provide more tailored suggestions.",968894_1
83,"Vivo X90 is a hypothetical phone model that hasn't been officially released yet, so there are no confirmed details about its features. However, based on the naming convention of Vivo's previous models, it's possible that X90 could be a premium or high-end device that comes with advanced camera capabilities.

If you're interested in purchasing a Vivo phone with good camera features, you can consider some of the company's existing models, such as Vivo X60 Pro+, which features a quad-camera setup with a 50MP primary sensor, a 48MP ultra-wide sensor, a 32MP portrait sensor, and an 8MP periscope telephoto lens. The phone also has advanced features such as 5-axis stabilization, 60x hybrid zoom, and 8K video recording.

Alternatively, if you have specific requirements for the camera features you need, feel free to let me know, and I can provide more tailored suggestions.",804318_1
84,"Bro I have missed the offer real me GT neo 3t it's proce is now 29,999 showing when can I get it at 19,999",255269_1
85,Could someone please suggest me a laptop? Budget is around 60k.,247257_1
86,"Galaxy Watch 4 LTE - Effective Price will be Rs 11,249 (not 10,249 as u hav mentioned)",631827_1
87,Galaxy buds pro 2 at 8k,360874_1
88,Can I ask what happened with your eyes?? 👀,516831_1
89,Hello beebom please do a jio drive  vr set,256286_1
90,"Samsung buds 2 pro, with bank discount i got 10093 with no cost EMI for one year.I Think it is a great deal...🎉",18676_1
91,Yaar tumlog budget deal bhi toh batao. Maximum log budget deal janana chahte hai.,72892_1
92,Realme gt 2 available at 25k with 1k discount with sbi card,228331_1
93,Motorola G73 is available for 16999 and usual price is 18999,727016_1
94,India top one,550350_1
95,Pixel 6a at 25k,276792_1
96,Ps5 at 36700 it is priced usually at 45k,169770_1
97,Amazon is overrated,834934_1
98,"no fillers, no bakwas... direct to the point... hats off beebom",270580_1
99,"Thank bro. I ordered redmi book 15 pro at 36k but then I saw your video and cancelled it to order Asus vivobook k15 OLED Ryzen 5 for 40.5k thanks bro. You really helped. I got better brand better display, fingerprint, numpad,8gb extra ram and more. Thanks.",348055_1
100,Galaxy buds 2pro,756835_1
101,Bruhh what about realme gt 2 ?,448307_1
102,So many amoled smartwatches are available below 2500.,572784_1
103,Most impressive Beebom always... Never skip while watching... Love from Chennai,286499_1
104,Can you please share the name of the price tracker extensions used at 4:38 ?,632220_1
105,Any video for over the ear headphones,364910_1
106,"You guys know the pulse, don't you? Awesome Quick Video",781517_1
107,motorola edge 30 ultra,267077_1
108,I cant find the deal of galaxy watch 4 lte of 12k😢,199671_1
109,Ayooo you forgot Samsung ear buds 1 for 4k❤,225009_1
110,I got ipad 9th gen for 20k after my old poco f1 exchange 🎉,872338_1
111,I want to reset my phone so how to backup  telegram data ???,189498_1
