,Comments,Comment ID
0,"Pixel 7a at ₹43,999 (₹39,999 after card discount. So, are you in group 1 or group 2? 05:53 😇",460911_1
1,Camera bar is not aluminium,520609_1
2,Can somebody tell me if this phone has heating issues? 😅,595046_1
3,Group 2,876569_1
4,Waiting for it to come down to 29999 or lower 😅,801723_1
5,Because it's not true.,630401_1
6,Why not go with the Pixel 7? I think it goes for around 45K..,880664_1
7,group 2,647518_1
8,"Kindly make videos about their service, feedbacks, service part costs etc.",660092_1
9,"Hey Rupesh, 
I own a OnePlus 8t and had a very bad experience with both OnePlus and Oppo devices with their motherboard crash.
Now I'm planning to move to the Pixel devices.
Looking at the current prices I can see that Pixel 6a is a great deal, but still Pixel 7a is pulling me because of its 90 hz display and Sony IMX786 sensor compared to very old sensor on Pixel 6a.
But the only thing I'm worried is about prices. I'm not getting that interest to spend huge amount of money on smartphones. Do you think the 6GB RAM and 60 hz works for me, as I have 120hz and 12gb RAM on OnePlus 8t
Please advise me on this.",690546_1
10,Pixel 7a or s21fe?,416329_1
11,I wanna buy a new phone. But my vivo that i bought 5 years is still working fantastically well. Why should i discard something which is working so well to buy a new one. Wouldn't that be like wasting money.,508923_1
12,Introduce optical zoom (at least 3x) in mid range than ultra wide camera (never used anyway).,162133_1
13,"costs at least 15k more than my current almost 4 year old ""chinese"" realme phone (price at which i bought) and is still a downgrade in terms of most of the specs like battery, charging speed, performance. oh and not to mention, it does not even have a charger in the box.... lmao. joke.",403326_1
14,The 64 MP camera of the rear... Is it a Sony sensor?????,734282_1
15,Here im waiting for BBD untill then i am loving my 4a 😂,407976_1
16,I am in the i exchanged my 6a and brought an 7a group and boy do i don't regret it😂,610306_1
17,Waiting for Nothing phone 2 😅....compare with pixel 7a.... Then wait for price reduction on both devices😂😂,936914_1
18,Please do a unboxing of Lava Agni 2 5g,735378_1
19,"Definitely Group 3, will wait for 8a and then buy 7a",801547_1
20,"I would buy it in BBD , honestly now I see no point in pixel 7 for ME PERSONALLY , Google nailed it with pixel 7a , all I want at a affordable price 😂",444747_1
21,5:29 wireless charging is limited to 7.5 watts only,72677_1
22,I think this phone should best around 29999,912735_1
23,not worth more than 30k 😂,891937_1
24,"ghanta still heating issue, bad performanc, bad battery life and cost 40k 😂😂 in sep it will be 30 k and then ppl will think of buying it 😂",257863_1
25,Shame no SD card slot 💳 😭,764591_1
26,"Overheating phone guys , don't believe these biased so called reviewere , you'll regret",23951_1
27,Group 2,106321_1
28,Is Pixel 7 pro better?,109889_1
29,"should we buy google pixel 6 from amazon @35k, in 2023?
Priority- whole day battery, camera. (no gaming at all) and long lasting 5 years chale",844849_1
30,😂 group 3 price drop in big billion days bro,829851_1
31,Is the 256gb varient available in India?,741747_1
32,"Group 4- People like me who were using Pixel Experience Rom on OP7T and bought Pixel 7A only to realise 7T runs just as good. 

PS- 7A runs HOT. Overheating while using the most basic stuff like scrolling, Netflix or calls. Pathetic.",387406_1
33,Does it have a fast charger?,322005_1
34,"I already got this pixel 7a, and it's look like flagship phone 🤳📱📱",472940_1
35,Group 1😂,670790_1
36,"I have been an avid user of the pixel since nexus times , i think going for the samsung ultra or the iphone is better if you've got the money , else i woud happily settle down for the pixel.
-From the owner of Pixel 7 pro 

It's just that Google has a good software ecosystem but lacks the hardware and supporting ecosytem devices. It's like they limit you on pupose : (",914011_1
37,Is it worth to buy pixel A series buds which comes in offer after buying this,250085_1
38,Why are they not providing an Amoled display instead of just OLED... price on higher side,546779_1
39,I am Group 4: No money to buy.,364530_1
40,Need to know if A series have pixel features that are like call screening?,302140_1
41,Group wait for BBD,42197_1
42,Call recording he? Jio video call support without internet?,683086_1
43,"Is it safe to buy Pixel phones from Amazon? They are not the official/authorised retailers as per the Google India website. 

I am getting good deals on Pixel 6/6 Pro 5G.  

Should I buy? Please suggest.",227092_1
44,Group 2 always,179101_1
45,Group 4 - yaar pese nahi hain yeh phone lene k.,622388_1
46,Id like to know If the pixel 6a a good buy now; for someone who isnt looking for everything high end; not very features demanding ?,882831_1
47,Pixel 7a has same performance as my Rog phone 3 but rog phone 3 has better thermals and way better then pixel 7a at gaming,940029_1
48,"If Google had used snapdragon instead of Exynos,     it would have created the monopoly",152240_1
49,Hi can you do pixel 4a vs 7a?,292831_1
50,"Poor performance, poor efficiency. bad device with Good camera and software.",705513_1
51,Group 1,398808_1
52,Pixel- struggle still persists,527602_1
53,"Sir, could you please suggest any way to update to miui 14 and android 13 on the legendary Xiaomi K20 pro as the phone is already listed dead for Xiaomi.They have stopped providing any updates???please please please???🙏🙏🙏",974844_1
54,I will wait for 6 to 8 months for this as happend with 6a this will sure come down to 35 to 37 k range ( curremtly using 4a since last 2.5 years and still happy with it...),111012_1
55,"I would like to see the battery comparison with nothing phone 1 , according to specs it is better but the experience is better in pixel .
I would like to see the comparison with nothing which will help a lot .
Have a great day 🤝🏼",656463_1
56,"Group 1 for sure, Overpriced!",599635_1
57,I'm in Group 3 - Get Pixel 7,764159_1
58,Group 4: wait for Big billion days 🤠,159424_1
59,"Imx 363 wasn't a downside tho .. It still beat the 7 pro in the blind smartphone camera test by mkbhd....
We want output, as long as 363 delivers it, we have no problem...",86076_1
60,Does 7a support PD charging technology?,190615_1
61,I am in group 1,600630_1
62,Pixel was always about amazing software experience and the best flagship grade cameras so if you want premium experience and camera i feel you should only go for pixel it just feels premium,542986_1
63,As for the price's concern.. it's obvious I'm in group 1 always 😁😁,182582_1
64,"Group 1, definitely overpriced",675285_1
65,"For me water resistant is important , because I have the habit of cleaning phone by directly putting it in water , like now I have iphone 12 , it's damaged a lot because I don't use case , and other things are good in it but it's feeling like old , so I'm looking forward to upgrade my device , and I'm waiting for nothing phone 2 , I don't know why but I like it's touch and feel my elder brother have nothing phone 1 that's why , 
Besides that I just want that it need to be water resistant and it can shoot 4k60fps in both the lenses ( not the front one ) because I'm not photogenic person , 
Well let's see maybe if it's not going to be good than might be I'll go for Google pixel 7 ,",626468_1
66,Rather wait for Nothing 2 !!,106686_1
67,"A lot of companies like redmi and realme ship phones with better specs at lower price, but the software is just terrible. I feel like the great software is worth the premium, so yeah, category 2 it is.",127005_1
68,"Too over priced, 44k and the screen isn’t even that good , total bs charging for their software plus almost 0 after-sales support in most of india, would rather wait for nothing phone 2 it will be at this same prcie range same focus of software but with more power and better display and after sales support, this should be around 35k",496714_1
69,It’s 500 but it comes with free pixel buds and a case from the google store so that’s not bad value really.,759177_1
70,Watching this video in pixel 6a,220957_1
71,In 6 months time it will be 32K then I'll buy it.,77846_1
72,dos the 7a support esim ?,110188_1
73,"I would get the 7, you can find it new for cheaper than 7a online",252851_1
74,Group1,841199_1
75,"Group 3 - people know that they will not afford this , but are still watching . 😢",411750_1
76,They can never fix the launch price. Never!  46k pix7 VS 44k for 7a...how dumb?,610683_1
77,can someone name the wallpaper used in 5:33  from backdrops?,96801_1
78,Waiting for about 2-3 months will reduce the price drastically on sales and that is a good time to snatch this Pixel!!,60890_1
79,have to hold groups till nothing phone(2) comes😀,330133_1
80,Group 3 will wait for the price to drop below 35k,453829_1
81,Comparison between Google Pixel 7a Vs Oneplus 11R vs Moto Edge 30 Fusion!!!!!!!!!!!,612550_1
82,Grp 2 mann,149968_1
83,My OnePlus 7T display just got busted after buying and using since its launch. I guess it's definitely a upgrade time !,937949_1
84,"Group 2... Already booked thru pre order, outside India, you get pixel buds A series free with pre order. So effectively got it around same price as India with card discount.
N Group 3 is weird, wait for phone/tech to become old, snap a marginal further discount. Is it worth for mid-rangers?",500010_1
85,Looks like a phone they should have launched in 2021,189644_1
86,"34, 999 😊 😊is good price.",951017_1
87,Group 3: Nothing.,384170_1
88,6pro or 7a who is better I'm confused,353151_1
89,Group 3: can't afford it,548773_1
90,"good package, you'll get a good deal of it in big billion days sale.",449221_1
91,"If the pricing does go down like it usually does after a few months, this will go from being a ""good package"" to being a no-brainer. The 7a's improvements are just astronomical compared to the 6a. *This* is an upgrade",479020_1
92,Then I am in group 4 who doesn't want pixel phones and go for galaxy S series straightway.,225737_1
93,"Pixel's processor and battery seems weak but the OS on OnePlus 11r is trash and camera also seems ok ok. And no flagship features on 11r except for the processor of course. Will be waiting for Nothing phone 2 , I am hoping it would bring best of both worlds.",477155_1
94,Bad pricing....  Pixel 7 avilable @46000 on sales,104062_1
95,Group 2,681732_1
96,Group 4 - Using Iphone❤,158020_1
97,Not even worth 30k 😑,773928_1
98,They could've launched it on Android 14,7491_1
99,18W charging in a phone released in 2023 is really a crime. I hate iPhone and Pixels for their poor charging speed. Whatever high end features they have charging speed is a basic requirement.,896110_1
100,Group 2 when I'll be under 35k,860353_1
101,"I'm in middle of those group.
If Non pixel user that's the fact there are some options,OnePlus 11R is the greatest 1 in this price segment, on the other hand people who love pixel and trying buy a Pixel phone in affordable price that's the phone they can pick😊
Good deals from #Google🤝",667946_1
102,I'm in Group 3 i.e Can't afford.,402793_1
103,Obviously group one. Let us compare it with the recently launched poco F5. It has better processor better  screen better battery better multi-media experience charger in the box headphone jack. Pixel has better software experience (subjective) better cameras and that's it. The price gap is around 15k. That's way too much for an avg user i guess. Google needs to focus on the mid range market and their needs,780760_1
104,Bhai Hindi me video nikal,334494_1
105,Group 1 for sure,568793_1
106,"Could you do Samsung A54 vs pixel 7a camera comparison, please...",914696_1
107,"Bhai Agar A54 me processor Acha hota tou wo isko kha jata 
Lekin Samsung ko Har cheez kharab karna hai",667978_1
108,Pixel 7 costs similar😅  isn't it better to buy that instead?,359517_1
109,"am a pixel user. one thing the pixel phones lack is service... only provided in major cities and not even available for semi metropolitan cities. 
If you live in cities like Bangaluru or mumbai well n good.",655149_1
110,"Group 
   

















AAP",93262_1
111,Group 2 though,967893_1
112,Group 1,562318_1
113,The bezels sucks,182141_1
114,Fun Fact : Wait till Oct and u can get this phone for 70% of its release price,20181_1
115,💩💩💩💩 phone not worth more than 30k,837249_1
116,Still sounds non interesting to me.,501839_1
117,"Google pixels are more about Good photos,videos and software. And it does fill that hardware gap with that. Some Samsung phones might provide a better value at that price point, but nothing can match the pixel.❤",997682_1
118,Group 2 but waiting for the Price Drop.,366014_1
119,"That's what my dad makes in a month. I'm in the group ""mehengai""

I'm waiting for the time when the chips are being made in India so that we can actually buy the phones at the price which is more affordable",410490_1
120,I Think...Wireless charging only in 7.5w..,853971_1
121,"Not fixed price, battery",161734_1
122,Goggle made use fool I bought pixel 7 with extra price and less features 😢,763149_1
123,Solid group 2 here when you place this against 6a the updates are amazing for one Year,646692_1
124,Easy call group 2. Only haters are in group 1! It don't matter what Google does. They're always going to be in group 1!,407129_1
125,"0:11 Same old IMX 363 beats iPhone 13 Pro Max & Samsung Galaxy S22 Ultra in camera blind test


Bruhhh all you need is software Optimization",691154_1
126,I'm in group 256GB. 128gb is a joke for today's phone,727085_1
127,Jenshin Impact 😂😂,779388_1
128,G1,222979_1
129,Getting it around 25k with special discount,567972_1
