,Comments,Comment ID
0,Hey Guys! Any other awesome deal that we missed out on? 😇,298107_1
1,What&#39;s best smartphone under 55000-62k INR for best camera???<br><br>Vivo X90 vs Pixel 7 vs OnePlus 11<br>Which is best or anything else?,774454_1
2,"Whats best smartphone for best camera under 50-60k?<br><br>Need for office IT professional  work  and personal camera for clicking birds, wildlife and recording videos sometimes..",378283_1
3,Please make best smartphone under 55k... no one touches segment between 45k-55k<br><br>Because for some video recording and clicking pics are important and performance equally...so the only segment left is 45-55k<br>If you can make video on that for best camera smartphone,674053_1
4,There is no discount on Asus vivobook pro,390621_1
5,@Beebom you missed ipad deal. :),745618_1
6,Realme GT 2 was at 24k.,121174_1
7,Gt Neo 3 t is out of stock 😅😢,322520_1
8,Sony srs xe 200,947935_1
9,Motorola edge 30 ultra,167775_1
10,@Sai Subash Jonnalagadda because of camera and fetures in low price,334587_1
11,What&#39;s best smartphones under 55k for office work and freelance work <br><br>Priority camera and performance,408045_1
12,​@anuj sharma How 33229,73752_1
13,Xiaomi 12 pro vs pixel 6 pro which one should I buy???,781520_1
14,headphone?,956905_1
15,realme gt 2 and gt 2 pro. its actually a good deal.,334977_1
16,Realme Gt2,499409_1
17,Please make the best laptop deals for every user type.,334533_1
18,samsung buds 2 pro now at 10k which is half of its actual price,393261_1
19,What&#39;s other best option that has camera better than Samsung S21FE..even by spending 10k extra<br>With less heating<br>Any recommendations under 40k for best possible camera<br><br>Or<br>Even under 50k for best possible camera<br><br>Less heat.,542532_1
20,Is there any best phone  under 55-56k or maximum 60k with great camera<br><br>Performance: little bit better than average<br>Need less heating as I live in area with high temperature<br><br>What&#39;s best?<br>Pixel 7<br>Vivo x90<br>??,734677_1
21,The pixel 7 is at 45000 in Amazon,179293_1
22,"​@Retro Tech pixel 7 is good option other than iPhone 13,14",48716_1
23,What kind of thumbnail is that? Looks like the lad is about to have a seizure,79666_1
24,There are many others but they dont pay for their promotion on your video.,718332_1
25,"Philips Wireless On Ear Headphones TAH8506BK,<br>8000 rupees only",409276_1
26,Realme gt 2 under 25k,233660_1
27,Which rice tracking tools are you using?<br>Please share,783740_1
