,Comments,Comment ID
0,"Pixel 7a at ₹43,999 (₹39,999 after card discount. So, are you in group 1 or group 2? 05:53 😇",309718_1
1,I am in group 1.5 Looking forward for sale price,965018_1
2,Camera bar is not aluminium,20467_1
3,Can somebody tell me if this phone has heating issues? 😅,835314_1
4,Group 2,741056_1
5,Waiting for it to come down to 29999 or lower 😅,210240_1
6,Because it's not true.,143282_1
7,Why not go with the Pixel 7? I think it goes for around 45K..,230100_1
8,group 2,917304_1
9,"Kindly make videos about their service, feedbacks, service part costs etc.",588437_1
10,"Hey Rupesh, 
I own a OnePlus 8t and had a very bad experience with both OnePlus and Oppo devices with their motherboard crash.
Now I'm planning to move to the Pixel devices.
Looking at the current prices I can see that Pixel 6a is a great deal, but still Pixel 7a is pulling me because of its 90 hz display and Sony IMX786 sensor compared to very old sensor on Pixel 6a.
But the only thing I'm worried is about prices. I'm not getting that interest to spend huge amount of money on smartphones. Do you think the 6GB RAM and 60 hz works for me, as I have 120hz and 12gb RAM on OnePlus 8t
Please advise me on this.",111840_1
11,Pixel 7a or s21fe?,201237_1
12,I wanna buy a new phone. But my vivo that i bought 5 years is still working fantastically well. Why should i discard something which is working so well to buy a new one. Wouldn't that be like wasting money.,257319_1
13,Introduce optical zoom (at least 3x) in mid range than ultra wide camera (never used anyway).,530550_1
14,"costs at least 15k more than my current almost 4 year old ""chinese"" realme phone (price at which i bought) and is still a downgrade in terms of most of the specs like battery, charging speed, performance. oh and not to mention, it does not even have a charger in the box.... lmao. joke.",324978_1
15,The 64 MP camera of the rear... Is it a Sony sensor?????,665577_1
16,Here im waiting for BBD untill then i am loving my 4a 😂,229423_1
17,I am in the i exchanged my 6a and brought an 7a group and boy do i don't regret it😂,523909_1
18,Waiting for Nothing phone 2 😅....compare with pixel 7a.... Then wait for price reduction on both devices😂😂,307879_1
19,Please do a unboxing of Lava Agni 2 5g,316932_1
20,"Definitely Group 3, will wait for 8a and then buy 7a",370892_1
21,"I would buy it in BBD , honestly now I see no point in pixel 7 for ME PERSONALLY , Google nailed it with pixel 7a , all I want at a affordable price 😂",537090_1
22,5:29 wireless charging is limited to 7.5 watts only,580487_1
23,I think this phone should best around 29999,681580_1
24,not worth more than 30k 😂,440426_1
25,"ghanta still heating issue, bad performanc, bad battery life and cost 40k 😂😂 in sep it will be 30 k and then ppl will think of buying it 😂",881486_1
26,Shame no SD card slot 💳 😭,381478_1
27,"Overheating phone guys , don't believe these biased so called reviewere , you'll regret",632635_1
28,Group 2,918696_1
29,Is Pixel 7 pro better?,271696_1
30,"should we buy google pixel 6 from amazon @35k, in 2023?
Priority- whole day battery, camera. (no gaming at all) and long lasting 5 years chale",23712_1
31,😂 group 3 price drop in big billion days bro,341993_1
32,Is the 256gb varient available in India?,959633_1
33,"Group 4- People like me who were using Pixel Experience Rom on OP7T and bought Pixel 7A only to realise 7T runs just as good. 

PS- 7A runs HOT. Overheating while using the most basic stuff like scrolling, Netflix or calls. Pathetic.",436859_1
34,Does it have a fast charger?,576853_1
35,"I already got this pixel 7a, and it's look like flagship phone 🤳📱📱",797583_1
36,Group 1😂,420865_1
37,"I have been an avid user of the pixel since nexus times , i think going for the samsung ultra or the iphone is better if you've got the money , else i woud happily settle down for the pixel.
-From the owner of Pixel 7 pro 

It's just that Google has a good software ecosystem but lacks the hardware and supporting ecosytem devices. It's like they limit you on pupose : (",164792_1
38,Is it worth to buy pixel A series buds which comes in offer after buying this,115215_1
39,Why are they not providing an Amoled display instead of just OLED... price on higher side,691763_1
40,I am Group 4: No money to buy.,650593_1
41,Need to know if A series have pixel features that are like call screening?,632005_1
42,Group wait for BBD,971699_1
43,Call recording he? Jio video call support without internet?,580450_1
44,"Is it safe to buy Pixel phones from Amazon? They are not the official/authorised retailers as per the Google India website. 

I am getting good deals on Pixel 6/6 Pro 5G.  

Should I buy? Please suggest.",289105_1
45,Group 2 always,442288_1
46,Group 4 - yaar pese nahi hain yeh phone lene k.,178300_1
47,Id like to know If the pixel 6a a good buy now; for someone who isnt looking for everything high end; not very features demanding ?,264475_1
48,Pixel 7a has same performance as my Rog phone 3 but rog phone 3 has better thermals and way better then pixel 7a at gaming,296026_1
49,"If Google had used snapdragon instead of Exynos,     it would have created the monopoly",329388_1
50,Hi can you do pixel 4a vs 7a?,891215_1
51,"Poor performance, poor efficiency. bad device with Good camera and software.",267487_1
52,Group 1,496053_1
53,Pixel- struggle still persists,283144_1
54,"Sir, could you please suggest any way to update to miui 14 and android 13 on the legendary Xiaomi K20 pro as the phone is already listed dead for Xiaomi.They have stopped providing any updates???please please please???🙏🙏🙏",762742_1
55,I will wait for 6 to 8 months for this as happend with 6a this will sure come down to 35 to 37 k range ( curremtly using 4a since last 2.5 years and still happy with it...),244722_1
56,"I would like to see the battery comparison with nothing phone 1 , according to specs it is better but the experience is better in pixel .
I would like to see the comparison with nothing which will help a lot .
Have a great day 🤝🏼",99414_1
57,"Group 1 for sure, Overpriced!",53824_1
58,I'm in Group 3 - Get Pixel 7,35161_1
59,Group 4: wait for Big billion days 🤠,982122_1
60,"Imx 363 wasn't a downside tho .. It still beat the 7 pro in the blind smartphone camera test by mkbhd....
We want output, as long as 363 delivers it, we have no problem...",247420_1
61,Does 7a support PD charging technology?,543796_1
62,I am in group 1,780783_1
63,Pixel was always about amazing software experience and the best flagship grade cameras so if you want premium experience and camera i feel you should only go for pixel it just feels premium,40761_1
64,As for the price's concern.. it's obvious I'm in group 1 always 😁😁,64625_1
65,"Group 1, definitely overpriced",677045_1
66,"For me water resistant is important , because I have the habit of cleaning phone by directly putting it in water , like now I have iphone 12 , it's damaged a lot because I don't use case , and other things are good in it but it's feeling like old , so I'm looking forward to upgrade my device , and I'm waiting for nothing phone 2 , I don't know why but I like it's touch and feel my elder brother have nothing phone 1 that's why , 
Besides that I just want that it need to be water resistant and it can shoot 4k60fps in both the lenses ( not the front one ) because I'm not photogenic person , 
Well let's see maybe if it's not going to be good than might be I'll go for Google pixel 7 ,",837436_1
67,Rather wait for Nothing 2 !!,570398_1
68,"A lot of companies like redmi and realme ship phones with better specs at lower price, but the software is just terrible. I feel like the great software is worth the premium, so yeah, category 2 it is.",604051_1
