Author,Comment
Beebom,"Pixel 7a at ₹43,999 (₹39,999 after card discount. So, are you in group 1 or group 2? 05:53 😇"
SaiKrishna Kote,Group 2
Tech Basics,Waiting for it to come down to 29999 or lower 😅
Jose Sierra,Because it's not true.
Zahid Rashid,Why not go with the Pixel 7? I think it goes for around 45K..
Niladri Basari,group 2
Akshay Mishra,"Kindly make videos about their service, feedbacks, service part costs etc."
Ashish Kande,"Hey Rupesh, 
I own a OnePlus 8t and had a very bad experience with both OnePlus and Oppo devices with their motherboard crash.
Now I'm planning to move to the Pixel devices.
Looking at the current prices I can see that Pixel 6a is a great deal, but still Pixel 7a is pulling me because of its 90 hz display and Sony IMX786 sensor compared to very old sensor on Pixel 6a.
But the only thing I'm worried is about prices. I'm not getting that interest to spend huge amount of money on smartphones. Do you think the 6GB RAM and 60 hz works for me, as I have 120hz and 12gb RAM on OnePlus 8t
Please advise me on this."
shre,Pixel 7a or s21fe?
Robin,I wanna buy a new phone. But my vivo that i bought 5 years is still working fantastically well. Why should i discard something which is working so well to buy a new one. Wouldn't that be like wasting money.
CφηsTaηTiηε,Introduce optical zoom (at least 3x) in mid range than ultra wide camera (never used anyway).
EpicBunty,"costs at least 15k more than my current almost 4 year old ""chinese"" realme phone (price at which i bought) and is still a downgrade in terms of most of the specs like battery, charging speed, performance. oh and not to mention, it does not even have a charger in the box.... lmao. joke."
Gunna Vikas,The 64 MP camera of the rear... Is it a Sony sensor?????
Ashwani Kundan,Here im waiting for BBD untill then i am loving my 4a 😂
Krishanu Kr. Choudhury,I am in the i exchanged my 6a and brought an 7a group and boy do i don't regret it😂
Yathish N,Waiting for Nothing phone 2 😅....compare with pixel 7a.... Then wait for price reduction on both devices😂😂
Food vibes,Please do a unboxing of Lava Agni 2 5g
Rohan Roy,"Definitely Group 3, will wait for 8a and then buy 7a"
Shashvat Bartaria,"I would buy it in BBD , honestly now I see no point in pixel 7 for ME PERSONALLY , Google nailed it with pixel 7a , all I want at a affordable price 😂"
Damien Rahul,5:29 wireless charging is limited to 7.5 watts only
milind lko,I think this phone should best around 29999
Ravi Das,not worth more than 30k 😂
Ravi Das,"ghanta still heating issue, bad performanc, bad battery life and cost 40k 😂😂 in sep it will be 30 k and then ppl will think of buying it 😂"
Karim Sumar,Shame no SD card slot 💳 😭
Amit Dubey,"Overheating phone guys , don't believe these biased so called reviewere , you'll regret"
JoBin JM,Group 2
Rahul Manerikar,Is Pixel 7 pro better?
Rajkishor Mazumdar,"should we buy google pixel 6 from amazon @35k, in 2023?
Priority- whole day battery, camera. (no gaming at all) and long lasting 5 years chale"
Sai Karthik,😂 group 3 price drop in big billion days bro
John Isaac,Is the 256gb varient available in India?
Palash Jangid,"Group 4- People like me who were using Pixel Experience Rom on OP7T and bought Pixel 7A only to realise 7T runs just as good. 

PS- 7A runs HOT. Overheating while using the most basic stuff like scrolling, Netflix or calls. Pathetic."
Vinod,Does it have a fast charger?
Rajat Mittal,"I already got this pixel 7a, and it's look like flagship phone 🤳📱📱"
Fahad V.S,Group 1😂
Vignesh M,"I have been an avid user of the pixel since nexus times , i think going for the samsung ultra or the iphone is better if you've got the money , else i woud happily settle down for the pixel.
-From the owner of Pixel 7 pro 

It's just that Google has a good software ecosystem but lacks the hardware and supporting ecosytem devices. It's like they limit you on pupose : ("
Tvs Tanuj,Is it worth to buy pixel A series buds which comes in offer after buying this
