,Comments,Comment ID
0,pixel a at after card discount so are you in group or group,220581_1
1,google ne sirf camera achha diya aur kuchh nahi or achha software to chinese brand bhi deti hai iss se achha to me used iphone lelu,30970_1
2,lakshay tanwar for how much did you bought and are there any heating issue like the a and a,567454_1
3,i am in group,43996_1
4,krooksgaminginhd around navratri,77783_1
5,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else,877665_1
6,buy a second hand iphone and get years update and better camera and performance,144808_1
7,it will drop to k in months,524993_1
8,nearlight gaming pixel series will be launched by then,281145_1
9,group,128775_1
10,it is crystal clear and iam in group,550126_1
11,obviously overcharged its watt where is the charger,970865_1
12,if it was atleast officially launching here in the middle east like most of pixel buyers here are risking as there will be no warranty on their phones,271491_1
13,spend k more u get pixel,59717_1
14,guru praveen s fe wont get the new android update,731979_1
15,i m in group i think it is an amazing package but the price has gone up from the a i could have done without wireless charging and even hz for a lower price everything else is quite impressive for the price i might be biased because i have bought every pixel a phone,11039_1
16,pritam barman could be i am using the japanese variant pixel for months no issues so far pixel warranty is useless anyways,712865_1
17,group br br wait a few months for the price drops just like the older pixel a phones,514731_1
18,aritra adhurjya that s the japanese variant i believe,191915_1
19,group,17065_1
20,nilesh devadiga when does the bbd usually take place,448624_1
21,guru praveeni think you mean s fe g,440833_1
22,guru praveennot really it was released in march and thus you already lost years of that not you ll only get android update and just years of security update and not to forget it can t beat any pixel phone,380744_1
23,what s best smartphone under k k for camera for year stable use,27263_1
24,ajay aj i ordered pixel a and then cancelled it since i could get pixel for just more with card offers and exchange br fyi pixel gives exchange bonus whereas pixel a doesn t,195112_1
25,krooksgaminginhd he said in bbd aka big billion day and yes it will go down in bbd,643089_1
26,i am in group which is quot i know its a solid phone but i will wait for the price to drop to buy one quot,808425_1
27,pixel cost k in amazon just k more than a,241388_1
28,group extremely overpriced when pixel is easily available for on bestbuy and k in india,525742_1
29,grp maybe,226371_1
30,now i feel like it s just the way google launch there phone k for this kinda specs make no sense but if it comes under k i can bet it will start dominating the market,66008_1
31,group,833851_1
32,group wait for price cut and big sale buy mobile at around k,126967_1
33,group its hell overpriced wait for sales to make a steal deal,601377_1
34,group but wireless charging ip i think gonna shift to grp after future price cuts,486452_1
35,for such a piece is nice they must not drop prices abruptly and rapidly as they always do by bringing the first pricing wrong most of the time,598349_1
36,grp best if its price is under k on sale,694359_1
37,what you will expect else we are indian of course it is overpriced br br also we can consider oneplus phones too lol,897786_1
38,group,424794_1
39,not a fan of these huge bezels moto edge fusion is way better in design and feel for the same price,897596_1
40,grp,400977_1
41,group at the moment,85822_1
42,oneplus r is good choice for k,510246_1
43,using pixel a and satisfied,86132_1
44,group since price drop for a and still group,695394_1
45,k na nothing phone gonna drop soon with either gen gen or gen that too with wireless charging nfc similar build quality better display longer battery faster charging ip rating similar if not better camera definitely better hardware haptics tactics g and all that most important regular updates so i m in group,298199_1
46,ofcourse in grp overpriced must b around k,80108_1
47,guru praveen what a joke lol gt s fe is already end of cycle only till next year it will get patch update not recommend to buy in br s fe can get years more but has exynos,64913_1
