,Comments
0,pixel a at after card discount so are you in group or group
1,lakshay tanwar for how much did you bought and are there any heating issue like the a and a
2,i am in group
3,krooksgaminginhd around navratri
4,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else
5,buy a second hand iphone and get years update and better camera and performance
6,it will drop to k in months
7,nearlight gaming pixel series will be launched by then
8,group
9,it is crystal clear and iam in group
10,obviously overcharged its watt where is the charger
11,if it was atleast officially launching here in the middle east like most of pixel buyers here are risking as there will be no warranty on their phones
12,spend k more u get pixel
13,guru praveen s fe wont get the new android update
14,i m in group i think it is an amazing package but the price has gone up from the a i could have done without wireless charging and even hz for a lower price everything else is quite impressive for the price i might be biased because i have bought every pixel a phone
15,pritam barman could be i am using the japanese variant pixel for months no issues so far pixel warranty is useless anyways
16,group br br wait a few months for the price drops just like the older pixel a phones
17,aritra adhurjya that s the japanese variant i believe
18,group
19,nilesh devadiga when does the bbd usually take place
20,guru praveeni think you mean s fe g
21,guru praveennot really it was released in march and thus you already lost years of that not you ll only get android update and just years of security update and not to forget it can t beat any pixel phone
22,what s best smartphone under k k for camera for year stable use
23,ajay aj i ordered pixel a and then cancelled it since i could get pixel for just more with card offers and exchange br fyi pixel gives exchange bonus whereas pixel a doesn t
24,krooksgaminginhd he said in bbd aka big billion day and yes it will go down in bbd
25,i am in group which is quot i know its a solid phone but i will wait for the price to drop to buy one quot
26,pixel cost k in amazon just k more than a
27,group extremely overpriced when pixel is easily available for on bestbuy and k in india
28,grp maybe
29,now i feel like it s just the way google launch there phone k for this kinda specs make no sense but if it comes under k i can bet it will start dominating the market
30,group
31,group wait for price cut and big sale buy mobile at around k
32,group its hell overpriced wait for sales to make a steal deal
33,group but wireless charging ip i think gonna shift to grp after future price cuts
34,for such a piece is nice they must not drop prices abruptly and rapidly as they always do by bringing the first pricing wrong most of the time
35,grp best if its price is under k on sale
36,what you will expect else we are indian of course it is overpriced br br also we can consider oneplus phones too lol
37,group
38,not a fan of these huge bezels moto edge fusion is way better in design and feel for the same price
39,grp
40,group at the moment
41,oneplus r is good choice for k
42,using pixel a and satisfied
43,group since price drop for a and still group
44,k na nothing phone gonna drop soon with either gen gen or gen that too with wireless charging nfc similar build quality better display longer battery faster charging ip rating similar if not better camera definitely better hardware haptics tactics g and all that most important regular updates so i m in group
45,ofcourse in grp overpriced must b around k
46,guru praveen what a joke lol gt s fe is already end of cycle only till next year it will get patch update not recommend to buy in br s fe can get years more but has exynos
47,i d rather get the pixel that s going for after discount and exchange with my oneplus nord
48,guru praveen no yrs of os update was announced in br s fe was supposed to get yrs of os updates but the news is it won t
49,right now group during bbd group
50,group now but when the price drops during bbd it will be considered as an all out google super phone for budget
