,Comments,Comment ID
0,pixel a at   after card discount so are you in group  or group,309718_1
1,i am in group  looking forward for sale price,965018_1
2,camera bar is not aluminium,20467_1
3,can somebody tell me if this phone has heating issues,835314_1
4,group,741056_1
5,waiting for it to come down to  or lower,210240_1
6,because its not true,143282_1
7,why not go with the pixel  i think it goes for around k,230100_1
8,group,917304_1
9,kindly make videos about their service feedbacks service part costs etc,588437_1
10,"hey rupesh 
i own a oneplus t and had a very bad experience with both oneplus and oppo devices with their motherboard crash
now im planning to move to the pixel devices
looking at the current prices i can see that pixel a is a great deal but still pixel a is pulling me because of its  hz display and sony imx sensor compared to very old sensor on pixel a
but the only thing im worried is about prices im not getting that interest to spend huge amount of money on smartphones do you think the gb ram and  hz works for me as i have hz and gb ram on oneplus t
please advise me on this",111840_1
11,pixel a or sfe,201237_1
12,i wanna buy a new phone but my vivo that i bought  years is still working fantastically well why should i discard something which is working so well to buy a new one wouldnt that be like wasting money,257319_1
13,introduce optical zoom at least x in mid range than ultra wide camera never used anyway,530550_1
14,costs at least k more than my current almost  year old chinese realme phone price at which i bought and is still a downgrade in terms of most of the specs like battery charging speed performance oh and not to mention it does not even have a charger in the box lmao joke,324978_1
15,the  mp camera of the rear is it a sony sensor,665577_1
16,here im waiting for bbd untill then i am loving my a,229423_1
17,i am in the i exchanged my a and brought an a group and boy do i dont regret it,523909_1
18,waiting for nothing phone  compare with pixel a then wait for price reduction on both devices,307879_1
19,please do a unboxing of lava agni  g,316932_1
20,definitely group  will wait for a and then buy a,370892_1
21,i would buy it in bbd  honestly now i see no point in pixel  for me personally  google nailed it with pixel a  all i want at a affordable price,537090_1
22,wireless charging is limited to  watts only,580487_1
23,i think this phone should best around,681580_1
24,not worth more than k,440426_1
25,ghanta still heating issue bad performanc bad battery life and cost k  in sep it will be  k and then ppl will think of buying it,881486_1
26,shame no sd card slot,381478_1
27,overheating phone guys  dont believe these biased so called reviewere  youll regret,632635_1
28,group,918696_1
29,is pixel  pro better,271696_1
30,"should we buy google pixel  from amazon k in 
priority whole day battery camera no gaming at all and long lasting  years chale",23712_1
31,group  price drop in big billion days bro,341993_1
32,is the gb varient available in india,959633_1
33,"group  people like me who were using pixel experience rom on opt and bought pixel a only to realise t runs just as good 

ps a runs hot overheating while using the most basic stuff like scrolling netflix or calls pathetic",436859_1
34,does it have a fast charger,576853_1
35,i already got this pixel a and its look like flagship phone,797583_1
36,group,420865_1
37,"i have been an avid user of the pixel since nexus times  i think going for the samsung ultra or the iphone is better if youve got the money  else i woud happily settle down for the pixel
from the owner of pixel  pro 

its just that google has a good software ecosystem but lacks the hardware and supporting ecosytem devices its like they limit you on pupose",164792_1
38,is it worth to buy pixel a series buds which comes in offer after buying this,115215_1
39,why are they not providing an amoled display instead of just oled price on higher side,691763_1
40,i am group  no money to buy,650593_1
41,need to know if a series have pixel features that are like call screening,632005_1
42,group wait for bbd,971699_1
43,call recording he jio video call support without internet,580450_1
44,"is it safe to buy pixel phones from amazon they are not the officialauthorised retailers as per the google india website 

i am getting good deals on pixel  pro g  

should i buy please suggest",289105_1
45,group  always,442288_1
46,group   yaar pese nahi hain yeh phone lene k,178300_1
47,id like to know if the pixel a a good buy now for someone who isnt looking for everything high end not very features demanding,264475_1
48,pixel a has same performance as my rog phone  but rog phone  has better thermals and way better then pixel a at gaming,296026_1
49,if google had used snapdragon instead of exynos     it would have created the monopoly,329388_1
50,hi can you do pixel a vs a,891215_1
51,poor performance poor efficiency bad device with good camera and software,267487_1
52,group,496053_1
53,pixel struggle still persists,283144_1
54,sir could you please suggest any way to update to miui  and android  on the legendary xiaomi k pro as the phone is already listed dead for xiaomithey have stopped providing any updatesplease please please,762742_1
55,i will wait for  to  months for this as happend with a this will sure come down to  to  k range  curremtly using a since last  years and still happy with it,244722_1
56,"i would like to see the battery comparison with nothing phone   according to specs it is better but the experience is better in pixel 
i would like to see the comparison with nothing which will help a lot 
have a great day",99414_1
57,group  for sure overpriced,53824_1
58,im in group   get pixel,35161_1
59,group  wait for big billion days,982122_1
60,"imx  wasnt a downside tho  it still beat the  pro in the blind smartphone camera test by mkbhd
we want output as long as  delivers it we have no problem",247420_1
61,does a support pd charging technology,543796_1
62,i am in group,780783_1
63,pixel was always about amazing software experience and the best flagship grade cameras so if you want premium experience and camera i feel you should only go for pixel it just feels premium,40761_1
64,as for the prices concern its obvious im in group  always,64625_1
65,group  definitely overpriced,677045_1
66,"for me water resistant is important  because i have the habit of cleaning phone by directly putting it in water  like now i have iphone   its damaged a lot because i dont use case  and other things are good in it but its feeling like old  so im looking forward to upgrade my device  and im waiting for nothing phone   i dont know why but i like its touch and feel my elder brother have nothing phone  thats why  
besides that i just want that it need to be water resistant and it can shoot kfps in both the lenses  not the front one  because im not photogenic person  
well lets see maybe if its not going to be good than might be ill go for google pixel",837436_1
67,rather wait for nothing,570398_1
68,a lot of companies like redmi and realme ship phones with better specs at lower price but the software is just terrible i feel like the great software is worth the premium so yeah category  it is,604051_1
69,too over priced k and the screen isnt even that good  total bs charging for their software plus almost  aftersales support in most of india would rather wait for nothing phone  it will be at this same prcie range same focus of software but with more power and better display and after sales support this should be around k,476076_1
70,its  but it comes with free pixel buds and a case from the google store so thats not bad value really,995030_1
71,watching this video in pixel a,332728_1
72,in  months time it will be k then ill buy it,70955_1
73,dos the a support esim,763062_1
74,i would get the  you can find it new for cheaper than a online,31214_1
75,group,862144_1
76,group   people know that they will not afford this  but are still watching,709975_1
77,they can never fix the launch price never  k pix vs k for ahow dumb,355545_1
78,can someone name the wallpaper used in   from backdrops,284090_1
79,waiting for about  months will reduce the price drastically on sales and that is a good time to snatch this pixel,939925_1
80,have to hold groups till nothing phone comes,94716_1
81,group  will wait for the price to drop below k,98735_1
82,comparison between google pixel a vs oneplus r vs moto edge  fusion,167416_1
83,grp  mann,670599_1
84,my oneplus t display just got busted after buying and using since its launch i guess its definitely a upgrade time,844675_1
85,"group  already booked thru pre order outside india you get pixel buds a series free with pre order so effectively got it around same price as india with card discount
n group  is weird wait for phonetech to become old snap a marginal further discount is it worth for midrangers",471336_1
86,looks like a phone they should have launched in,73914_1
87,is good price,648300_1
88,group  nothing,50460_1
89,pro or a who is better im confused,793094_1
90,group  cant afford it,56124_1
91,good package youll get a good deal of it in big billion days sale,751678_1
92,if the pricing does go down like it usually does after a few months this will go from being a good package to being a nobrainer the as improvements are just astronomical compared to the a this is an upgrade,82672_1
93,then i am in group  who doesnt want pixel phones and go for galaxy s series straightway,273184_1
94,pixels processor and battery seems weak but the os on oneplus r is trash and camera also seems ok ok and no flagship features on r except for the processor of course will be waiting for nothing phone   i am hoping it would bring best of both worlds,551770_1
95,bad pricing  pixel  avilable  on sales,131323_1
96,group,697465_1
97,group   using iphone,97812_1
98,not even worth k,53638_1
99,they couldve launched it on android,442662_1
100,w charging in a phone released in  is really a crime i hate iphone and pixels for their poor charging speed whatever high end features they have charging speed is a basic requirement,212474_1
101,group  when ill be under k,977518_1
102,"im in middle of those group
if non pixel user thats the fact there are some optionsoneplus r is the greatest  in this price segment on the other hand people who love pixel and trying buy a pixel phone in affordable price thats the phone they can pick
good deals from google",956137_1
103,im in group  ie cant afford,602978_1
104,obviously group one let us compare it with the recently launched poco f it has better processor better  screen better battery better multimedia experience charger in the box headphone jack pixel has better software experience subjective better cameras and thats it the price gap is around k thats way too much for an avg user i guess google needs to focus on the mid range market and their needs,347543_1
105,bhai hindi me video nikal,134101_1
106,group  for sure,447168_1
107,could you do samsung a vs pixel a camera comparison please,496755_1
108,"bhai agar a me processor acha hota tou wo isko kha jata 
lekin samsung ko har cheez kharab karna hai",476634_1
109,pixel  costs similar  isnt it better to buy that instead,61068_1
110,"am a pixel user one thing the pixel phones lack is service only provided in major cities and not even available for semi metropolitan cities 
if you live in cities like bangaluru or mumbai well n good",711093_1
111,"group 
   

















aap",37288_1
112,group  though,855799_1
113,group,167885_1
114,the bezels sucks,926987_1
115,fun fact  wait till oct and u can get this phone for  of its release price,553668_1
116,phone not worth more than k,704827_1
117,still sounds non interesting to me,908832_1
118,google pixels are more about good photosvideos and software and it does fill that hardware gap with that some samsung phones might provide a better value at that price point but nothing can match the pixel,403238_1
119,group  but waiting for the price drop,809055_1
120,"thats what my dad makes in a month im in the group mehengai

im waiting for the time when the chips are being made in india so that we can actually buy the phones at the price which is more affordable",768910_1
121,i thinkwireless charging only in w,848802_1
122,not fixed price battery,538866_1
123,goggle made use fool i bought pixel  with extra price and less features,420821_1
124,solid group  here when you place this against a the updates are amazing for one year,643586_1
125,easy call group  only haters are in group  it dont matter what google does theyre always going to be in group,435145_1
126,"same old imx  beats iphone  pro max  samsung galaxy s ultra in camera blind test


bruhhh all you need is software optimization",599209_1
127,im in group gb gb is a joke for todays phone,853983_1
128,jenshin impact,951411_1
129,g,666050_1
130,getting it around k with special discount,414997_1
131,i have been using pixel a for the past  months and i would not recommend someone to buy the tensor chip a series of google heat management is a big issue the phone heats up quickly suppose you use google maps to go somewhere after  mins the phone will automatically switch to dark mode to cool down the device you cannot see the navigation in the day in dark mode another incident was i was on an important zoom call the device closed the app automatically to cool down the device there was no way i could shut that feature i had to wait for the device to cool down the call was barely  hr yes the photos are amazingly superb but i have to charge the phone twice a day to keep it live pixel a series phones were good till pixela it was its peak now its downfall i feel,25371_1
132,no use when battery is shit as last,37314_1
133,elephant in the room shitty tensor exynos chipset with amazing heating issues and very dim and bad quality display,879825_1
134,groud   will buy once after price drop,269155_1
135,just wait for the big billion sale and buy the pixel  at a better pricek for this phone isnt worth it,708345_1
136,watt wired and  watt wirless charging in  and you call it a solid upgrade its a joke,328362_1
137,group  who wont even buy the phone just here for google,857306_1
138,group,56390_1
139,it would be great if you make a video about a comparison between google pixel a and samsung galaxy a,275558_1
140,overpriced,913947_1
141,dont rush on this just wait until bbd sale,372899_1
142,group,277048_1
143,what,429836_1
144,i will probably go with group  investing in a phone more than k is stupidity the reason is simple use a phone like a phone and not a computer and a dlsr not so complicated right,578064_1
145,group    be patient you know what i mean,820411_1
146,over priced  go for  pixel  at rs k,849876_1
147,good with pixela,511176_1
148,"compare camera with pixel  onepls r onepls  samsung s fe
then i will tell in which group i am",618214_1
149,bro can  u make a and a comparision,657677_1
150,i am in sale group,974941_1
151,the user experience on a pixel is world class you can buy any pixel phone just for the fact that you will get pure android,901689_1
152,bhai ne bola group  toh group  baki kuch nhi,736152_1
153,isnt pixel  available at  on amazon why would someone get this at basically the same price,39615_1
